variant,price,Body Type,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Turbo Charger,Transmission Type,Gearbox,Drive Type,Fuel Type,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Top Speed,Front Suspension,Rear Suspension,Steering Type,Steering Column,Turning Radius,Front Brake Type,Rear Brake Type,Length,Width,Height,Boot Space,Seating Capacity,Wheel Base,Front Tread,Kerb Weight,Gross Weight,No. of Doors,Power Steering,Air Conditioner,Heater,Height Adjustable Driver Seat,Accessory Power Outlet,Trunk Light,Vanity Mirror,Rear Reading Lamp,Adjustable Headrest,Rear Seat Centre Arm Rest,Rear AC Vents,Parking Sensors,Foldable Rear Seat,KeyLess Entry,USB Charger,Gear Shift Indicator,Luggage Hook & Net,Additional Features,Tachometer,Leather Wrapped Steering Wheel,Glove Box,Digital Odometer,Dual Tone Dashboard,Digital Cluster,Digital Cluster Size,Upholstery,Rear Window Wiper,Rear Window Washer,Rear Window Defogger,Wheel Covers,Alloy Wheels,Rear Spoiler,Outside Rear View Mirror Turn Indicators,Integrated Antenna,Halogen Headlamps,Roof Rails,Fog Lights,Boot Opening,Tyre Size,Tyre Type,Wheel Size,LED DRLs,LED Taillights,Anti-lock Braking System (ABS),Central Locking,Child Safety Locks,No. of Airbags,Driver Airbag,Passenger Airbag,Side Airbag,Side Airbag-Rear,Day & Night Rear View Mirror,Curtain Airbag,Electronic Brakeforce Distribution (EBD),Seat Belt Warning,Door Ajar Warning,Tyre Pressure Monitoring System (TPMS),Engine Immobilizer,Electronic Stability Control (ESC),Rear Camera,Speed Alert,Pretensioners & Force Limiter Seatbelts,Hill Assist,Radio,Integrated 2DIN Audio,Bluetooth Connectivity,Touchscreen,Touchscreen Size,Internal Storage,Usb Ports,Speakers,Android Auto,Apple CarPlay,No. of Speakers,Adjustable Steering,Rear Seat Headrest,Connectivity,Alloy Wheel Size Front,Alloy Wheel Size Rear,Antenna,Tweeters,front_seat_comfort_score,rear_seat_comfort_score,under_thigh_support_score,rear_seat_recline_score,gear_lever_feel_score,bump_absorption_score,cabin_noise_insulation_score,suspension_feel_score,body_roll_control_score,small_storage_score,steering_feedback_score,throttle_response_score,clutch_feel_score,brake_response_score,material_quality_score,instrument_cluster_readability_score,infotainment_responsiveness_score,sound_system_quality_score,Automatic Climate Control,Engine Start/Stop Button,Central Console Armrest,Tailgate Ajar Warning,Drive Modes,Idle Start-Stop System,Drive Mode Types,Power Windows,Cup Holders,Adjustable Headlamps,Projector Headlamps,Outside Rear View Mirror (ORVM),LED Headlamps,ISOFIX Child Seat Mounts,Wireless Phone Charging,SOS Button,RSA,Over Speeding Alert,Remote Door Lock/Unlock,Remote Vehicle Ignition Start/Stop,Geo-fence Alert,Rear Touchscreen,Bharat NCAP Safety Rating,Bharat NCAP Child Safety Rating,Petrol Highway Mileage,0-100Kmph (Tested),Speed Sensing Auto Door Lock,Xenon Headlamps,Global NCAP Safety Rating,Global NCAP Child Safety Rating,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Electric Adjustable Seats,Air Quality Control,Lumbar Support,Cruise Control,Hands-Free Tailgate,Glove Box light,Automatic Headlamps,Follow Me Home Headlamps,Rain Sensing Wiper,Sunroof,Heated Outside Rear View Mirror,Puddle Lamps,LED Fog Lamps,Anti-Theft Alarm,Traction Control,Anti-Theft Device,Anti-Pinch Power Windows,Hill Descent Control,Blind Spot Monitor,Battery Capacity,Motor Power,Motor Type,Range,Range - Tested,Battery Type,Charging Time (D.C),Charging Port,Charger Type,Charging Time (15 A Plug Point),Acceleration 0-60kmph,Braking (100-0kmph),City driveability (20-80kmph),Braking (80-0 kmph),Chrome Grille,Chrome Garnish,E-Call & I-Call,Running Cost,Shock Absorbers Type,Ground Clearance Unladen,Rear Tread,Voice Commands,Paddle Shifters,Brake Assist,Lane Keep Assist,Road Departure Mitigation System,Adaptive Cruise Control,Leading Vehicle Departure Alert,Adaptive High Beam Assist,Google / Alexa Connectivity,Smartwatch App,Smart Access Card Entry,Rear Curtain,Rear Window Sunblind,Leather wrap gear-shift selector,Acoustic Vehicle Alert System,Blind Spot Camera,Impact Sensing Auto Door Unlock,Forward Collision Warning,Lane Change Indicator,USB & Auxiliary input,Lane Departure Warning,Steering Gear Type,360 View Camera,Fuel Supply System,Reported Boot Space,Ventilated Seats,Height Adjustable Front Seat Belts,Cooled Glovebox,Voice assisted sunroof,Inbuilt Apps,Blind Spot Collision Avoidance Assist,Driver Attention Warning,Rear Cross Traffic Alert,Rear Cross Traffic Collision-Avoidance Assist,Remote Immobiliser,Remote Vehicle Status Check,Digital Car Key,Over the Air (OTA) Updates,Subwoofer,Rear Windscreen Sunblind,CNG Mileage ARAI,CNG Fuel Tank Capacity,Secondary Fuel Type,Petrol Fuel Tank Capacity (Litres),Charging Time (A.C),Regenerative Braking,Regenerative Braking Levels,Charging Options,Charging Time (50 kW DC Fast Charger),Acceleration 0-100kmph,Charging,58Min-50kW(10-80%),Real-Time Vehicle Tracking,Battery Saver,Vehicle to Load Charging,Folding Table in The Rear,Automatic Emergency Braking,Live Location,Inbuilt Assistant,Hinglish Voice Commands,Send POI to Vehicle From App,Live Weather,Save Route/Place,SOS / Emergency Assistance,Inbuilt APPs,Valve Configuration,Knee Airbags,Fog Lights - Front,Fog Lights - Rear,Power Antenna,Oncoming Lane Mitigation,Speed Assist System,Traffic Sign Recognition,Lane Departure Prevention Assist,Autonomous Parking,Active noise cancellation,Ambient  Light Colour (numbers),Remote Boot Open,Diesel Highway Mileage,Cornering Headlamps,Cornering Foglamps,Navigation with Live Traffic,Lighting,Tow Away Alert,Trunk Opener,Sun Roof,Heads-Up Display (HUD),Unauthorised Vehicle entry,Valet Mode,Remote AC On/Off,Side Stepper,Remote Fuel Lid Opener,Rear Entertainment System,Rear Touch Screen size,Heated Seats,Roof Carrier,Engine Start Alarm,Cigarette Lighter,Headlamp Washers,Tinted Glass,Smoke Headlamps,20Min with 140 kW DC,20Min with 180 kW DC,Low Fuel Warning Light,Fabric Upholstery,Digital Clock,Ground Clearance (Laden),MirrorLink,Wi-Fi Connectivity,PUC Expiry,Insurance Expiry,E-Manual,Crash Notification,In Car Remote Control App,CNG Highway Mileage,Emission Control System,Approach Angle,Departure Angle,Break-over Angle,Convertible Top,Battery Warranty,Charging Time (7.2 kW AC Fast Charger),6H 30 Min-AC-7.2 kW (0-100%),Electronic Multi-Tripmeter,Leather Seats,Unnamed: 79,Unnamed: 195,Petrol Mileage (ARAI),Acceleration,0-100kmph,Braking (60-0 kmph),3.3KW 7H (0-100%),7.5KW 3.5H(0-100%),55 Min-DC-50kW (0-80%),9H | AC 7.4 kW (0-100%),Wireless Charging,Electric Fuel Tank Capacity,Boot Space Rear Seat Folding,Own Your Dream with the All-New Skoda Kylaq,40Min-60kW-(10-80%),Vechicle to Vehicle Charging,40Min-70kW-(10-80%),56 Min-50 kW(10-80%),Audio System Remote Control,Compass,2.6H-AC-7.2 kW (10-100%),3.6H-AC-7.2 kW (10-100%),Power Door Locks,Passenger Side Rear View Mirror,Rear Seat Belts,Adjustable Seats,Crash Sensor,Engine Check Warning,EBD,59 min| DC-18 kW(10-80%),59min | DC-18 kW(10-80%),Navigation System,Dual Tone Body Colour
Citroen Aircross Turbo Max AT DT,"Rs.14,19,800",SUV,PURETECH 110,1199 cc,108.62bhp@5500rpm,205Nm@1750-2500rpm,3,4,yes Yes,Automatic,6-Speed,FWD,Petrol,17.6 kmpl,45 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,5.4 m,Ventilated Disc,Drum,4323 mm,1796 mm,1665 mm,444 Litres,5,2671 mm,,1256-1264 kg,1666-1674 kg,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,Bench Folding,yes,Front & Rear,yes,yes,"Citroen Connect Touchscreen, Mirror Screen (Apple CarPlay™ And Android Auto™) Wireless Smartphone Connectivity, MyCitroen Connect With 35 Smart Features, C - Buddy Personal Assistant Application",yes,yes,yes,yes,yes,Full,7 inch,Leatherette,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,Front,Manual,215/60 R17,Radial Tubeless,,yes,yes,yes,yes,yes,2,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,yes,yes,yes,10.23 Inch,,yes,Front & Rear,yes,yes,4,yes,yes,"Android Auto, Apple CarPlay",17 Inch,17 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen Aircross Turbo Max AT 7 Seater,"Rs.14,34,800",SUV,PURETECH 110,1199 cc,108.62bhp@5500rpm,205Nm@1750-2500rpm,3,4,yes Yes,Automatic,6-Speed,FWD,Petrol,17.6 kmpl,45 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,5.4 m,Ventilated Disc,Drum,4323 mm,1796 mm,1669 mm,444 Litres,7,2671 mm,,1309 kg,1834 kg,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,60:40 Split,yes,Front & Rear,yes,yes,"Citroen Connect Touchscreen, Mirror Screen (Apple CarPlay™ And Android Auto™) Wireless Smartphone Connectivity, MyCitroen Connect With 35 Smart Features, C - Buddy Personal Assistant Application",yes,yes,yes,yes,yes,Full,7 inch,Leatherette,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,Front,Manual,215/60 R17,Radial Tubeless,,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,yes,yes,yes,10.23 Inch,,yes,Front & Rear,yes,yes,4,yes,yes,"Android Auto, Apple CarPlay",17 Inch,17 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen Aircross Turbo Max AT 7 Seater DT,"Rs.14,54,800",SUV,PURETECH 110,1199 cc,108.62bhp@5500rpm,205Nm@1750-2500rpm,3,4,yes Yes,Automatic,6-Speed,FWD,Petrol,17.6 kmpl,45 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,5.4 m,Ventilated Disc,Drum,4323 mm,1796 mm,1669 mm,444 Litres,7,2671 mm,,1309 kg,1834 kg,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,60:40 Split,yes,Front & Rear,yes,yes,"Citroen Connect Touchscreen, Mirror Screen (Apple CarPlay™ And Android Auto™) Wireless Smartphone Connectivity, MyCitroen Connect With 35 Smart Features, C - Buddy Personal Assistant Application",yes,yes,yes,yes,yes,Full,7 inch,Leatherette,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,Front,Manual,215/60 R17,Radial Tubeless,,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,yes,yes,yes,10.23 Inch,,yes,Front & Rear,yes,yes,4,yes,yes,"Android Auto, Apple CarPlay",17 Inch,17 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen Basalt You,"Rs.8,25,000",SUV,Puretech 82,1199 cc,80bhp@5750rpm,115Nm@3750rpm,3,4,no,Manual,6-Speed,FWD,Petrol,18 kmpl,45 Litres,BS VI 2.0,,MacPherson suspension,Rear twist beam,Electric,no No,,Ventilated Disc,Drum,4352 mm,1765 mm,1593 mm,470 Litres,5,2651 mm,,,,5,yes,yes,yes,no,yes,no,no,yes,no,no,no,Rear,,no,no,yes,yes,"Body Coloured Bumpers,Front Panel: Brand Emblems - Chevron-CHROME,Front Panel: Chrome moustache,Sash Tape - A/B Pillar,Body Side Sill Cladding",yes,no,yes,,,no,,Fabric,,,no,no,no,,no,,yes,,no,,205/60 R16,Radial Tubeless,,no,no,yes,yes,no,6,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,yes,,yes,no,,no,no,inch,,no,no,no,no,,no,Adjustable,,,,,,3,3,3,4,3,3,4,3,3,3,3,4,3,4,3,3,2,2,no,no,no,yes,no,yes,no,Front Only,Front Only,yes,no,Manual,no,yes,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen Basalt Plus,"Rs.9,99,000",SUV,Puretech 82,1199 cc,80bhp@5750rpm,115Nm@3750rpm,3,4,no,Manual,6-Speed,FWD,Petrol,18 kmpl,45 Litres,BS VI 2.0,,MacPherson suspension,Rear twist beam,Electric,Tilt,,Ventilated Disc,Drum,4352 mm,1765 mm,1593 mm,470 Litres,5,2651 mm,,,,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,Rear,,yes,Front,yes,yes,"Body Coloured Bumpers,Front Panel: Brand Emblems - Chevron-CHROME,Front Panel: Chrome moustache,Sash Tape - A/B Pillar,Body Side Sill Cladding`,Front Signature Grill: High Gloss Black,AColour Touch: Front Bumper & C-Pillar,Body Coloured Outside Door Handles,Outside Door Mirror: High Gloss Black,Wheel Arch Cladding",yes,no,yes,,,yes,7,Fabric,,,no,yes,no,,yes,,yes,,no,,205/60 R16,Radial Tubeless,16 Inch,yes,no,yes,yes,no,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,yes,yes,,yes,yes,10.23 inch,,yes,Front & Rear,yes,yes,4,Powered Adjustment,Adjustable,,,,,,4,3,3,4,3,3,4,3,3,3,3,4,3,4,3,3,3,2,no,no,no,yes,no,yes,no,Front & Rear,Front & Rear,yes,no,Powered,no,yes,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen Basalt Plus Turbo,"Rs.11,77,000",SUV,Puretech 110,1199 cc,109bhp@5500rpm,190Nm@1750rpm,3,4,yes Yes,Manual,6-Speed,FWD,Petrol,19.5 kmpl,45 Litres,BS VI 2.0,,MacPherson suspension,Rear twist beam,Electric,Tilt,,Ventilated Disc,Drum,4352 mm,1765 mm,1593 mm,470 Litres,5,2651 mm,,,,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,Rear,,yes,Front & Rear,yes,yes,"Body Coloured Bumpers,Front Panel: Brand Emblems - Chevron-CHROME,Front Panel: Chrome moustache,Sash Tape - A/B Pillar,Body Side Sill Cladding`,Front Signature Grill: High Gloss Black,AColour Touch: Front Bumper & C-Pillar,Body Coloured Outside Door Handles,Outside Door Mirror: High Gloss Black,Wheel Arch Cladding,Skid Plate - Front & Rear",yes,no,yes,,,yes,7,Fabric,,,yes,yes,no,,yes,,no,,Front,,205/60 R16,Radial Tubeless,16 Inch,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,yes,yes,,yes,yes,10.23 inch,,yes,Front & Rear,yes,yes,4,Powered Adjustment,Adjustable,,,,,,4,4,3,4,3,3,4,3,3,3,3,5,3,4,3,3,3,2,yes,yes,With Storage,yes,no,yes,,Front & Rear,Front & Rear,yes,yes,Powered & Folding,yes,yes,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen Basalt Max Turbo,"Rs.12,49,000",SUV,Puretech 110,1199 cc,109bhp@5500rpm,190Nm@1750rpm,3,4,yes Yes,Manual,6-Speed,FWD,Petrol,19.5 kmpl,45 Litres,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,,Ventilated Disc,Drum,4352 mm,1765 mm,1593 mm,470 Litres,5,2651 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,,yes,Front & Rear,yes,yes,"Body Coloured Bumpers,Front Panel: Brand Emblems - Chevron-CHROME,Front Panel: Chrome moustache,Sash Tape - A/B Pillar,Body Side Sill Cladding`,Front Signature Grill: High Gloss Black,AColour Touch: Front Bumper & C-Pillar,Body Coloured Outside Door Handles,Outside Door Mirror: High Gloss Black,Wheel Arch Cladding,Skid Plate - Front & Rear,Dual Tone Roof,Body Side Door Moulding & Chrome Insert,Front Grill Embellisher (Glossy Black + Painted)",yes,yes,yes,,,yes,7,Leatherette,,,yes,no,yes,,yes,,no,,Front,,205/60 R16,Radial Tubeless,,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,,yes,yes,,yes,yes,10.23 inch,,yes,Front & Rear,yes,yes,4,Powered Adjustment,Adjustable,,16 Inch,16 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,2,yes,yes,With Storage,yes,no,yes,,Front & Rear,Front & Rear,yes,yes,Powered & Folding,yes,yes,yes,no,no,no,no,no,no,,4 Star,4 Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen Basalt Max Turbo DT,"Rs.12,70,000",SUV,Puretech 110,1199 cc,109bhp@5500rpm,190Nm@1750rpm,3,4,yes Yes,Manual,6-Speed,FWD,Petrol,19.5 kmpl,45 Litres,BS VI 2.0,,MacPherson suspension,Rear twist beam,Electric,Tilt,,Ventilated Disc,Drum,4352 mm,1765 mm,1593 mm,470 Litres,5,2651 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,,yes,Front & Rear,yes,yes,"Body Coloured Bumpers,Front Panel: Brand Emblems - Chevron-CHROME,Front Panel: Chrome moustache,Sash Tape - A/B Pillar,Body Side Sill Cladding`,Front Signature Grill: High Gloss Black,AColour Touch: Front Bumper & C-Pillar,Body Coloured Outside Door Handles,Outside Door Mirror: High Gloss Black,Wheel Arch Cladding,Skid Plate - Front & Rear,Dual Tone Roof,Body Side Door Moulding & Chrome Insert,Front Grill Embellisher (Glossy Black + Painted)",yes,yes,yes,,,yes,7,Leatherette,,,yes,no,yes,,yes,,no,,Front,,205/60 R16,Radial Tubeless,,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,,yes,yes,,yes,yes,10.23 inch,,yes,Front & Rear,yes,yes,4,Powered Adjustment,Adjustable,,16 Inch,16 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,2,yes,yes,With Storage,yes,no,yes,,Front & Rear,Front & Rear,yes,yes,Powered & Folding,yes,yes,yes,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen Basalt Plus Turbo AT,"Rs.13,07,000",SUV,PureTech 110,1199 cc,109bhp@5500rpm,205Nm@1750-2500rpm,3,4,yes Yes,Automatic,6-Speed,FWD,Petrol,18.7 kmpl,45 Litres,BS VI 2.0,,MacPherson suspension,Rear twist beam,Electric,Tilt,,Ventilated Disc,Drum,4352 mm,1765 mm,1593 mm,470 Litres,5,2651 mm,,,,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,Rear,,yes,Front & Rear,yes,yes,"Body Coloured Bumpers,Front Panel: Brand Emblems - Chevron-CHROME,Front Panel: Chrome moustache,Sash Tape - A/B Pillar,Body Side Sill Cladding`,Front Signature Grill: High Gloss Black,AColour Touch: Front Bumper & C-Pillar,Body Coloured Outside Door Handles,Outside Door Mirror: High Gloss Black,Wheel Arch Cladding,Skid Plate - Front & Rear",yes,no,yes,,,yes,7,Fabric,,,yes,yes,no,,yes,,no,,Front,,205/60 R16,Radial Tubeless,16 Inch,yes,no,yes,yes,no,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,yes,yes,,yes,yes,10.23 inch,,yes,Front & Rear,yes,yes,4,Powered Adjustment,Adjustable,,,,,,4,4,3,4,3,3,4,3,3,3,3,5,3,4,3,3,3,2,yes,yes,With Storage,yes,no,yes,,Front & Rear,Front & Rear,yes,yes,Powered & Folding,yes,yes,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen Basalt Max Turbo AT,"Rs.13,79,000",SUV,Puretech 110,1199 cc,109bhp@5500rpm,205Nm@1750-2500rpm,3,4,yes Yes,Automatic,6-Speed,FWD,Petrol,18.7 kmpl,45 Litres,BS VI 2.0,,MacPherson suspension,Rear twist beam,Electric,Tilt,,Ventilated Disc,Drum,4352 mm,1765 mm,1593 mm,470 Litres,5,2651 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,,yes,Front & Rear,yes,yes,MyCitroën Connect With 40 Smart Features,yes,yes,yes,,,yes,7,Leatherette,,,yes,no,yes,,yes,,no,,Front,,205/60 R16,Radial Tubeless,,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,,yes,yes,,yes,yes,10.23 inch,,yes,Front & Rear,yes,yes,4,Powered Adjustment,Adjustable,,16 Inch,16 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,2,yes,yes,With Storage,yes,3,yes,Minimal-Eco-Dual Mode,Front & Rear,Front & Rear,yes,yes,Powered & Folding,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen Basalt Max Turbo AT DT,"Rs.13,99,999",SUV,Puretech 110,1199 cc,109bhp@5500rpm,205Nm@1750-2500rpm,3,4,yes Yes,Automatic,6-Speed,FWD,Petrol,18.7 kmpl,45 Litres,BS VI 2.0,,MacPherson suspension,Rear twist beam,Electric,Tilt,,Ventilated Disc,Drum,4352 mm,1765 mm,1593 mm,470 Litres,5,2651 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,,yes,Front & Rear,yes,yes,MyCitroën Connect With 40 Smart Features,yes,yes,yes,,,yes,7,Leatherette,,,yes,,yes,,yes,yes,,,Front,,205/60 R16,Radial Tubeless,,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,,yes,yes,,yes,yes,10.23 inch,,yes,Front & Rear,yes,yes,4,Powered Adjustment,Adjustable,,16 Inch,16 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,2,yes,yes,With Storage,yes,3,yes,Minimal-Eco-Dual Mode,Front & Rear,Front & Rear,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
